Name,Position,Research Areas,Publications
Dr Harsh Kumar Verma,Professor,"Information Security, Computer Networks, Wireless Networks",290
Prof Amrit Lal Sangal,Professor,"Information Security, Computer Networks, Scientific Computing",117
Mr Deepak Kumar Gupta,Associate Professor,Latest Areas in Computer Science (Guidance),25
Dr Rajneesh Rani,Associate Professor,"Digital Image Processing, Computer Vision, Document Analysis",112
Dr Renu Dhir,Associate Professor,"Pattern Recognition, Image Processing, Soft Computing",84
Sumit Kumar,Assistant Professor (Grade-II),Edge Computing,
Dr Prashant Kumar,Assistant Professor (Grade-II),"Opportunistic & Delay Tolerant Networks, Adhoc Networks",33
Dr Armaan Garg,Assistant Professor (Grade-II),"Artificial Intelligence, Machine Learning",16
Dr Pranjal Kumar,Assistant Professor (Grade-II),"Deep Learning, Computer Vision, Generative AI",13
Dr Prashant Shukla,Assistant Professor (Grade-II),"Distributed Computing, Sensor Networks",18
Mrs Madhurima Buragohain,Assistant Professor (Grade-II),Computer Science (Ph.D. in CSE),11
Dr Muktesh Gupta,Assistant Professor (Grade-II),"Machine Learning, Signal Processing",20
Dr Himanshu Verma,Assistant Professor (Grade-II),"IoT-Healthcare, IoT, W-WBAN, MANET, Computer Networks",20
Dr Banalaxmi Brahma,Assistant Professor (Grade-II),"Machine Learning, Deep Learning, Time Series Forecasting",14
Dr Shefali Arora Chouhan,Assistant Professor (Grade-II),"Machine Learning, Deep Learning",29
Dr Jagdeep Kaur,Assistant Professor (Grade-II),"Software Engineering, Artificial Intelligence, Internet of Things",27
Dr Aruna Malik,Assistant Professor (Grade-II),"Steganography, Image Data Hiding, Text Steganography",88
Dr Amritpal Singh,Assistant Professor (Grade-II),"Machine Learning, Data Mining, Probabilistic Data Modeling",35
Dr Urvashi Bansal,Assistant Professor (Grade-I),"Information Security, Cyber Warfare, Vulnerability Analysis",48
Dr Nagendra Pratap Singh,Assistant Professor (Grade-I),"Medical Imaging, Retinal Image Processing, Image Analysis",60
Dr KUNWAR PAL,Assistant Professor,"Computer Networks, Multimedia Transmission, Network Security",28
Dr Manoj Kumar Somesula,Assistant Professor,Computer Science (PhD from NIT),18
Dr LALATENDU BEHERA,Assistant Professor,"Scheduling Theory, Real-time & Safety-Critical Systems",9
Dr SHVETA MAHAJAN,Assistant Professor,Information Systems Investigation & Suitability Analysis,21
Dr Swarnima Singh Gautam,Assistant Professor,"Empirical Software Engineering, Data Mining, Pattern Recognition",5
Mr Rahul Aggarwal,Assistant Professor,24 Years Teaching Experience,
Dr Krishna Pal Sharma,Assistant Professor,"Wireless Adhoc Networks, UAV Networks, Internet Technologies",56
Dr Avtar Singh,Assistant Professor,"Cloud Computing, Machine Learning, MCDM, IoT",33
