Name,Position,Research Areas,Publications
Prof Binod Kumar Kanaujia,Director,"Design and Modeling of Microstrip Antenna, Microwaves",495
Dr Barjinder Singh Saini,Professor,"Biomedical Signal/Image Processing, Microprocessor",131
Prof Arun Khosla,Professor,"Assisted Technologies, Games for Health, Gamification",164
Dr R K Sarin,Professor,"Microelectronics, III-V Compound Semiconductors, Materials",59
Dr Balwinder Raj,Associate Professor,"Microelectronics, Nanoelectronics, VLSI Design",282
Dr Asutosh Kar,Associate Professor,"Digital Signal Processing, Machine Learning, Adaptive Systems",120
Dr Neetu Sood,Associate Professor,"Wireless Communication, Plant Signalling",73
Dr Ashish Raman,Associate Professor,"Nano Scale Semiconductor Devices, VLSI Design",149
Dr Deepti Kakkar,Associate Professor,"Wireless Communication, Neurodevelopmental Disorders",92
Dr Ramesh Kumar Sunkaria,Associate Professor,Biomedical Signal and Image Processing,157
Dr Mamta Khosla,Associate Professor,"VLSI Design, Nanoelectronics, Soft Computing",82
Dr Sachchidanand Sachchidanand,Assistant Professor (Grade-II),Numerical Simulation,20
Dr Roshan Bodile,Assistant Professor (Grade-II),"Biomedical Signal Processing, ECG/EEG Denoising, Signal Analysis",17
Dr Rohit Singh,Assistant Professor (Grade-II),"RF Circuits, Communication Systems",42
Dr Robin Kalyan,Assistant Professor (Grade-I),"RFICs/MMICs, RF Circuits",18
Dr Pawan Kumar Verma,Assistant Professor,Machine-to-Machine Communications,36
Dr Manjeet Singh,Assistant Professor,"Wireless Sensor Networks, AI, Communication Systems",11
Dr Tarun Chaudhary,Assistant Professor,"Low Power VLSI Design, Nano-device Modelling",13
Dr Kundan Kumar,Assistant Professor,Electrical and Electronic Engineering,31
Dr Sateesh Awasthi,Assistant Professor,"Peer-to-Peer Networks, Communication",26
Dr Aijaz Mehdi Zaidi,Assistant Professor,"Active/Passive RF Circuits, Multi-band RF Circuits",46
Dr Sukwinder Singh,Assistant Professor,"RF Circuit Design, Microwave Engineering",28
Dr Indu Saini,Assistant Professor,"Biomedical Signal/Image Processing, Machine Learning",105
Dr Nitesh Kashyap,Assistant Professor,"Antenna design, RF and Microwave Components",38
