Name,Position,Research Areas,Publications
Prof Subhash Chander,Professor,"Heat Transfer, Fluid Mechanics, Combustion, Renewable Energy",20
Dr Joseph Anand Vaz,Professor,"Robotics, Mechatronics, System Dynamics, Control",56
Dr Dushyant Singh,Associate Professor,"Experimental & Numerical Heat Transfer, Fluid Flow",80
Dr Rabinder Singh Bharj,Associate Professor,"Fuels, IC Engines, Combustion, Pollution, Solar Energy",60
Dr Sarbjot Singh Sandhu,Associate Professor,"Alternative Fuels, Combustion Engines, IC Engines",84
Mr Ajay Trehan,Associate Professor,"Thermodynamics, IC Engines, Fluid Power, Biofuels",1
Dr Rajeev Kukreja,Associate Professor,"Flow Condensation, Flow Boiling, Multiphase Flow",53
Dr S K Tiwari,Associate Professor,"Friction Stir Welding, Condition Monitoring, Composites",39
Dr Pramod Kumar,Associate Professor,"Design, Composite Materials, Manufacturing Systems",91
Dr Dwesh Kumar Singh,Assistant Professor,Thermal Engineering,37
Dr Saurabh Kango,Assistant Professor,"Tribology, Micro Surface Texturing, Design",53
Dr Ashok Kumar Bagha,Assistant Professor,"Active Noise Control, Finite Element Methods",18
Dr Sanjay Kumar,Assistant Professor,"Thermal Engineering, HVAC Systems, Thermal Comfort",53
Dr Sumit Sharma,Assistant Professor,"Composite Materials, Mechanical Engineering",114
Dr Rajan Kumar,Assistant Professor,"Microfluidics, Nanofluidics, Convective Heat Transfer",77
Dr Nitin Sharma,Assistant Professor,"Tribology, Surface Texturing, Porous Bearings",40
Dr Ranchan Chauhan,Assistant Professor,Thermal Engineering,72
Dr Satyender Singh,Assistant Professor,Thermal & Fluid Engineering,54
Dr Manoj Kumar,Assistant Professor,"Solid Mechanics, Ductile Fracture, Continuum Damage Mechanics",101
