Category,Value
Total Faculty/Scientists,267
Director,1
Professor,39
Associate Professor,59
Assistant Professor,94
Lecturer,1
Librarian,2
Assistant Professor (Grade-II),53
Assistant Professor (Grade-I),12
Assistant Librarian,1
Deputy Librarian,1
Guest Faculty,1
Head,1
Lecturer - Selection Grade,1
Professor (HAG),1
Publications,10155
Patents,83
Gold OA,158
Bronze OA,111
Green OA,908
Journal Articles,6077
Conference / Proceedings,2180
Books / Chapters,767
Other Publications,1131
Total Citations,136311
Scopus Citations,110416
